CustomerID,VehicleID,VehicleMake,VehicleModel,VehicleYOM
Cust10177,Vehicle34749,Honda,Accord,2002
Cust10178,Vehicle24357,Accura,RSX,2013
Cust10179,Vehicle27553,Saab,RSX,2013
Cust1018,Vehicle25812,Suburu,Legacy,2015
Cust10180,Vehicle36979,Nissan,Ultima,2006
Cust10181,Vehicle28317,Suburu,Ultima,2006
Cust10183,Vehicle9177,BMW,M5,1995
Cust10185,Vehicle8845,Chevrolet,Tahoe,2007
Cust10187,Vehicle18528,Volkswagen,Passat,2001
Cust10188,Vehicle32140,Volkswagen,Passat,2010
Cust10189,Vehicle2786,Volkswagen,Passat,2015
Cust10190,Vehicle6283,Volkswagen,Jetta,2006
Cust10191,Vehicle38631,Volkswagen,Jetta,2006
Cust10192,Vehicle13306,Dodge,Escape,2004
Cust10193,Vehicle4652,Ford,Escape,2006
Cust10194,Vehicle12974,Nissan,X6,1999
Cust10195,Vehicle10558,Nissan,Pathfinder,1999
Cust10196,Vehicle15871,Ford,Maxima,2001
Cust10197,Vehicle36685,Nissan,Fusion,2002
Cust10199,Vehicle26968,Nissan,Ultima,2014
Cust10200,Vehicle24355,Ford,Fusion,2002
Cust10201,Vehicle16629,Ford,Tahoe,2005
Cust10202,Vehicle34204,Volkswagen,MDX,2003
Cust10203,Vehicle1551,Accura,MDX,2003
Cust10205,Vehicle17422,BMW,3 Series,2014
Cust10207,Vehicle15400,Jeep,Wrangler,2008
Cust10208,Vehicle24167,Ford,Fusion,2006
Cust10209,Vehicle38198,Ford,Maxima,2003
Cust1021,Vehicle4754,Suburu,Impreza,2011
Cust10210,Vehicle11189,Chevrolet,Malibu,2005
Cust10211,Vehicle10810,Chevrolet,Malibu,2006
Cust10214,Vehicle14214,Mercedes,C300,2012
Cust10215,Vehicle36390,Mercedes,ML350,2013
Cust10216,Vehicle9309,Toyota,RAM,2001
Cust10217,Vehicle7080,Dodge,RAM,2003
Cust10219,Vehicle4836,Jeep,93,2006
Cust1022,Vehicle35433,Accura,RSX,1996
Cust10220,Vehicle16613,Saab,M5,2011
Cust10221,Vehicle11516,Saab,M5,2011
Cust10222,Vehicle31445,BMW,Malibu,2013
Cust10223,Vehicle24132,BMW,3 Series,2014
Cust10224,Vehicle26846,Toyota,Tahoe,2014
Cust10225,Vehicle2030,Toyota,Tahoe,2014
Cust10226,Vehicle34196,Accura,MDX,2000
Cust10229,Vehicle2494,???,MDX,2002
Cust1023,Vehicle11236,Suburu,Forrestor,2000
Cust10231,Vehicle17356,Saab,95,2013
Cust10232,Vehicle22497,Honda,Civic,2005
Cust10233,Vehicle23388,Honda,Civic,2005
Cust10234,Vehicle2372,Mercedes,ML350,2014
Cust10235,Vehicle35911,Mercedes,ML350,2014
Cust10236,Vehicle12410,Saab,95,2004
Cust10237,Vehicle4262,Saab,95,2004
Cust10239,Vehicle4367,Accura,TL,2008
Cust1024,Vehicle21636,Dodge,RAM,2011
Cust10240,Vehicle14975,Jeep,Grand Cherokee,1998
Cust10241,Vehicle1503,Jeep,Silverado,1997
Cust10242,Vehicle35143,Accura,Ultima,2005
Cust10243,Vehicle30671,Nissan,MDX,2009
Cust10244,Vehicle4989,Accura,Passat,2009
Cust10246,Vehicle5783,Jeep,Wrangler,2006
Cust10247,Vehicle4272,Honda,Wrangler,2006
Cust10248,Vehicle37022,Toyota,E400,2012
Cust10249,Vehicle1627,Mercedes,E400,2005
Cust1025,Vehicle28373,Ford,Escape,2005
Cust10250,Vehicle7408,Audi,A3,2014
Cust10254,Vehicle7376,Nissan,X5,1997
Cust10256,Vehicle9508,Honda,Civic,1999
Cust10257,Vehicle23035,Honda,Civic,2000
Cust10259,Vehicle1809,Mercedes,Pathfinder,2000
Cust1026,Vehicle12606,Ford,Escape,2006
Cust10260,Vehicle33508,Chevrolet,Silverado,2004
Cust10262,Vehicle6734,Jeep,Wrangler,2013
Cust10264,Vehicle14921,Chevrolet,Malibu,2011
Cust10266,Vehicle23449,Dodge,RAM,2001
Cust10268,Vehicle10229,Audi,A5,2002
Cust10269,Vehicle28017,Nissan,Pathfinder,1998
Cust1027,Vehicle8279,Toyota,Camry,2005
Cust10270,Vehicle29116,Honda,X6,2000
Cust10272,Vehicle3244,Ford,CRV,2006
Cust10273,Vehicle18520,Ford,CRV,2010
Cust10274,Vehicle38312,Toyota,Corolla,2007
Cust10275,Vehicle23001,Toyota,Corolla,2013
Cust10276,Vehicle20338,BMW,M5,2006
Cust10277,Vehicle25382,Jeep,M5,2007
Cust10278,Vehicle26875,Volkswagen,Jetta,2010
Cust10279,Vehicle15167,Suburu,Jetta,2007
Cust1028,Vehicle26468,Suburu,Forrestor,2003
Cust10281,Vehicle22827,Nissan,F150,2004
Cust10283,Vehicle17963,Jeep,MDX,2007
Cust10285,Vehicle37144,Accura,TL,2001
Cust10286,Vehicle8577,Accura,MDX,2003
Cust10288,Vehicle38159,Mercedes,C300,2013
Cust10289,Vehicle31827,Mercedes,C300,2013
Cust10290,Vehicle5771,Mercedes,ML350,2012
Cust10291,Vehicle30562,Mercedes,ML350,2014
Cust10292,Vehicle17227,Nissan,Pathfinder,2010
Cust10293,Vehicle21251,Ford,Escape,2009
Cust10294,Vehicle36054,Volkswagen,Jetta,2007
Cust10295,Vehicle28335,Volkswagen,Jetta,2006
Cust10296,Vehicle17748,BMW,X6,1998
Cust10297,Vehicle14591,Nissan,X6,1998
Cust10298,Vehicle9753,Audi,A3,2012
Cust10299,Vehicle7186,Audi,A3,2014
Cust10302,Vehicle3914,Mercedes,E400,2012
Cust10303,Vehicle37549,Mercedes,E400,2008
Cust10306,Vehicle23224,Dodge,RAM,1997
Cust10307,Vehicle7843,Suburu,Impreza,1996
Cust10308,Vehicle6160,Suburu,ML350,2005
Cust1031,Vehicle8420,Toyota,Corolla,2005
Cust10312,Vehicle31360,Saab,TL,2011
Cust10314,Vehicle21856,BMW,3 Series,2003
Cust10315,Vehicle27105,BMW,X6,2001
Cust10316,Vehicle32778,Honda,Jetta,2000
Cust10317,Vehicle14412,Honda,CRV,1999
Cust10318,Vehicle23212,Accura,RSX,1997
Cust10319,Vehicle35560,Accura,RSX,1998
Cust10320,Vehicle6792,Nissan,CRV,2009
Cust10321,Vehicle37266,Nissan,CRV,2009
Cust10322,Vehicle25905,Saab,95,2013
Cust10323,Vehicle24243,Saab,95,2013
Cust10326,Vehicle6233,Nissan,TL,2003
Cust10327,Vehicle28455,Accura,Ultima,1999
Cust10328,Vehicle7363,Toyota,Camry,2013
Cust10329,Vehicle20999,Toyota,Wrangler,2012
Cust1033,Vehicle13702,BMW,3 Series,2008
Cust10330,Vehicle16401,Audi,Malibu,2003
Cust10332,Vehicle35471,Ford,Silverado,2004
Cust10333,Vehicle39824,Chevrolet,Silverado,2006
Cust10334,Vehicle31279,Dodge,RAM,1998
Cust10335,Vehicle37848,Dodge,RAM,1997
Cust10336,Vehicle4358,Jeep,Grand Cherokee,2002
Cust10337,Vehicle24441,Jeep,Grand Cherokee,2002
Cust10338,Vehicle5018,Saab,Neon,2006
Cust1034,Vehicle27544,Suburu,Impreza,2015
Cust10340,Vehicle16524,Mercedes,C300,2010
Cust10341,Vehicle27960,Toyota,Highlander,2007
Cust10343,Vehicle31488,Chevrolet,Malibu,2005
Cust10344,Vehicle30216,Mercedes,ML350,2011
Cust10345,Vehicle16911,BMW,3 Series,2012
Cust10347,Vehicle4037,Volkswagen,Jetta,2000
Cust10348,Vehicle19301,Jeep,Pathfinder,2008
Cust10349,Vehicle26380,Nissan,Wrangler,2008
Cust1035,Vehicle24965,Audi,A3,1999
Cust10350,Vehicle14696,Accura,MDX,2013
Cust10351,Vehicle34138,Dodge,RAM,2005
Cust10352,Vehicle34452,Toyota,Highlander,2010
Cust10353,Vehicle3712,Toyota,Highlander,2009
Cust10355,Vehicle12447,BMW,Camry,2008
Cust10356,Vehicle23650,Audi,A3,2005
Cust10358,Vehicle10937,Ford,Escape,2007
Cust1036,Vehicle32126,Mercedes,C300,1995
Cust10360,Vehicle21661,Audi,A5,2004
Cust10361,Vehicle34551,Accura,TL,2000
Cust10362,Vehicle2528,Ford,Fusion,2010
Cust10363,Vehicle38482,Ford,Fusion,2010
Cust10365,Vehicle23690,Toyota,Corolla,2006
Cust10366,Vehicle38055,Honda,Pathfinder,2010
Cust10368,Vehicle7791,Chevrolet,Ultima,2000
Cust10369,Vehicle28379,Chevrolet,Ultima,1999
Cust1037,Vehicle32274,Suburu,Forrestor,2004
Cust10370,Vehicle29456,Toyota,Jetta,2014
Cust10371,Vehicle32255,Toyota,Jetta,2014
Cust10373,Vehicle37979,Dodge,RAM,2008
Cust10375,Vehicle29570,Dodge,RAM,2005
Cust10376,Vehicle15098,Ford,A3,2005
Cust10377,Vehicle33344,Audi,Escape,2004
Cust10379,Vehicle24489,Chevrolet,Tahoe,1996
Cust1038,Vehicle19923,Suburu,Legacy,2001
Cust10382,Vehicle32775,Ford,Neon,2002
Cust10383,Vehicle27177,Dodge,Neon,2002
Cust10384,Vehicle31281,Dodge,RAM,2003
Cust10385,Vehicle24841,Dodge,RAM,2003
Cust10386,Vehicle22864,Saab,92x,2007
Cust10388,Vehicle4611,Saab,93,2004
Cust10389,Vehicle5310,Saab,93,2005
Cust1039,Vehicle35978,Jeep,Wrangler,2007
Cust10390,Vehicle34821,Ford,Escape,2001
Cust10391,Vehicle22645,Ford,Escape,2000
Cust10393,Vehicle19583,Accura,MDX,2004
Cust10394,Vehicle23575,Toyota,A5,2008
Cust10395,Vehicle38833,Audi,A5,2006
Cust10397,Vehicle31662,Accura,MDX,1996
Cust10398,Vehicle19261,Audi,A3,2010
Cust1040,Vehicle6812,Nissan,Pathfinder,2011
Cust10400,Vehicle11812,Nissan,RSX,2001
Cust10401,Vehicle5773,Accura,RSX,1999
Cust10402,Vehicle27378,Volkswagen,Jetta,1999
Cust10403,Vehicle8149,Volkswagen,Jetta,1998
Cust10404,Vehicle36053,Audi,A5,1998
Cust10405,Vehicle18230,Audi,Neon,2010
Cust10406,Vehicle2760,Toyota,Corolla,2006
Cust10407,Vehicle39537,Toyota,Corolla,2008
Cust10408,Vehicle33235,Chevrolet,Tahoe,2012
Cust10409,Vehicle39663,Chevrolet,Tahoe,2007
Cust1041,Vehicle13660,BMW,M5,2010
Cust10412,Vehicle26894,Audi,Passat,2005
Cust10414,Vehicle18169,Toyota,Camry,2008
Cust10417,Vehicle23242,Honda,Civic,1997
Cust10419,Vehicle6940,Jeep,Passat,2010
Cust1042,Vehicle34411,BMW,X5,2001
Cust10420,Vehicle37907,Jeep,Wrangler,2007
Cust10421,Vehicle18607,Jeep,Wrangler,2006
Cust10423,Vehicle16388,Jeep,93,2007
Cust10428,Vehicle5658,Dodge,RAM,1996
Cust10429,Vehicle4334,Nissan,RAM,1996
Cust1043,Vehicle21073,Dodge,RAM,2010
Cust10430,Vehicle36762,Mercedes,E400,1999
Cust10431,Vehicle28153,Mercedes,E400,2000
Cust10432,Vehicle33669,Ford,Fusion,2010
Cust10433,Vehicle14316,Ford,Neon,2004
Cust10434,Vehicle33331,Toyota,F150,2010
Cust10436,Vehicle19263,Honda,CRV,2007
Cust10438,Vehicle17958,Saab,MDX,2004
Cust10439,Vehicle17663,Saab,MDX,2003
Cust1044,Vehicle38747,Mercedes,E400,2005
Cust10440,Vehicle30792,Dodge,Neon,2006
Cust10441,Vehicle34588,Accura,Neon,2006
Cust10443,Vehicle17535,Toyota,A3,2003
Cust10444,Vehicle9438,Saab,95,1999
Cust10445,Vehicle3136,Saab,95,1998
Cust10446,Vehicle34541,Audi,A5,2000
Cust10447,Vehicle36212,Audi,A5,1997
Cust10448,Vehicle29350,Jeep,Ultima,2013
Cust10449,Vehicle36151,Jeep,Ultima,2010
Cust10450,Vehicle29159,Dodge,ML350,2005
Cust10452,Vehicle31202,Suburu,Jetta,2000
Cust10453,Vehicle12424,Volkswagen,Jetta,2000
Cust10454,Vehicle18312,Saab,92x,1999
Cust10455,Vehicle5856,Saab,92x,2000
Cust10456,Vehicle12442,Volkswagen,Malibu,2009
Cust10457,Vehicle4047,Chevrolet,Jetta,2009
Cust10458,Vehicle21453,Honda,F150,2009
Cust10459,Vehicle26350,Ford,F150,2008
Cust1046,Vehicle25324,Accura,MDX,2002
Cust10460,Vehicle21104,Dodge,Neon,2001
Cust10461,Vehicle18479,Dodge,Neon,2004
Cust10463,Vehicle23248,Suburu,Escape,2004
Cust10464,Vehicle3678,Honda,CRV,2004
Cust10465,Vehicle11913,Honda,93,2005
Cust10466,Vehicle34122,Jeep,Wrangler,2009
Cust10467,Vehicle14521,Jeep,Wrangler,2009
Cust10468,Vehicle18507,Jeep,Wrangler,1999
Cust10469,Vehicle34863,Jeep,Wrangler,2004
Cust1047,Vehicle29779,Honda,Civic,2014
Cust10471,Vehicle39782,BMW,M5,2007
Cust10472,Vehicle11557,Accura,TL,2003
Cust10474,Vehicle30717,Ford,F150,2011
Cust10475,Vehicle17741,Ford,F150,2010
Cust10478,Vehicle16064,Suburu,MDX,2004
Cust1048,Vehicle30845,Audi,A3,2003
Cust10480,Vehicle7461,Jeep,Wrangler,2014
Cust10481,Vehicle6589,Jeep,Wrangler,2012
Cust10482,Vehicle37203,Dodge,Neon,2007
Cust10484,Vehicle27984,Jeep,CRV,2011
Cust10485,Vehicle9337,Jeep,Wrangler,2011
Cust10487,Vehicle33282,Saab,95,1999
Cust10488,Vehicle18551,Accura,TL,2003
Cust10489,Vehicle9227,Ford,TL,2001
Cust1049,Vehicle28243,Volkswagen,Passat,1995
Cust10490,Vehicle29733,Audi,A5,1997
Cust10492,Vehicle6411,Toyota,Camry,2007
Cust10493,Vehicle25806,Toyota,Camry,2007
Cust10494,Vehicle16266,Nissan,X5,2005
Cust10495,Vehicle33490,Nissan,X5,2005
Cust10496,Vehicle8863,Jeep,Wrangler,2011
Cust10498,Vehicle3492,Ford,F150,2002
Cust10499,Vehicle24513,Ford,F150,2000
Cust1050,Vehicle28023,Mercedes,C300,2000
Cust10500,Vehicle4036,Dodge,RAM,2005
Cust10501,Vehicle31282,Dodge,RAM,2006
Cust10503,Vehicle8850,Dodge,Neon,2012
Cust10504,Vehicle30864,Toyota,Corolla,1999
Cust10505,Vehicle7249,Toyota,Corolla,1996
Cust10506,Vehicle17476,Jeep,Wrangler,2007
Cust10509,Vehicle20780,Audi,A3,2006
Cust1051,Vehicle7524,Nissan,Pathfinder,1998
Cust10510,Vehicle19154,Honda,CRV,2003
Cust10511,Vehicle39177,Honda,CRV,2010
Cust10512,Vehicle12581,Ford,Fusion,2010
Cust10513,Vehicle27014,Ford,Fusion,2003
Cust10517,Vehicle16236,Accura,TL,1996
Cust10518,Vehicle35172,Honda,93,2012
Cust10520,Vehicle32082,Accura,Passat,2008
Cust10522,Vehicle7437,Chevrolet,Silverado,2007
Cust10524,Vehicle12886,Saab,92x,2006
Cust10525,Vehicle18578,Saab,92x,2000
Cust10526,Vehicle34072,Saab,A3,2001
Cust10527,Vehicle23503,Audi,A3,2001
Cust10528,Vehicle33061,Audi,CRV,2003
Cust10529,Vehicle30477,Honda,CRV,2002
Cust1053,Vehicle20940,Toyota,Corolla,2000
Cust10530,Vehicle39157,Saab,92x,1996
Cust10531,Vehicle24019,Saab,92x,1996
Cust10532,Vehicle36534,Honda,X6,2013
Cust10533,Vehicle16536,BMW,Civic,2001
Cust10535,Vehicle35147,Jeep,Grand Cherokee,2005
Cust10536,Vehicle7464,Toyota,Escape,1998
Cust10538,Vehicle22526,Audi,A3,2014
Cust10539,Vehicle17778,Audi,A3,2013
Cust1054,Vehicle37970,Suburu,Forrestor,1999
Cust10541,Vehicle22261,Honda,Accord,2005
Cust10542,Vehicle20585,Volkswagen,Legacy,2006
Cust10543,Vehicle9936,Suburu,Jetta,2006
Cust10544,Vehicle4438,Nissan,Maxima,1999
Cust10545,Vehicle16707,Nissan,Maxima,1997
Cust10546,Vehicle23556,Mercedes,E400,1995
Cust10547,Vehicle26457,Mercedes,E400,1996
Cust10548,Vehicle36799,Chevrolet,Malibu,2000
Cust1055,Vehicle9986,Ford,F150,2009
Cust10550,Vehicle21111,Chevrolet,Ultima,1997
Cust10551,Vehicle10430,Chevrolet,Ultima,1997
Cust10552,Vehicle22742,Jeep,Wrangler,2015
Cust10554,Vehicle8713,Honda,E400,2002
Cust10555,Vehicle24890,Honda,Accord,2005
Cust10556,Vehicle19100,Dodge,Neon,1998
Cust10558,Vehicle37505,Audi,A3,2003
Cust10561,Vehicle31000,Audi,A5,2009
Cust10562,Vehicle5896,Volkswagen,Jetta,2004
Cust10563,Vehicle23884,Volkswagen,92x,2007
Cust10564,Vehicle17217,Dodge,RAM,2001
Cust10565,Vehicle1725,Dodge,RAM,2000
Cust10567,Vehicle13194,Dodge,RAM,2015
Cust10568,Vehicle3730,Volkswagen,MDX,2006
Cust1057,Vehicle17075,Honda,CRV,2014
Cust10572,Vehicle28051,Nissan,Pathfinder,1999
Cust10573,Vehicle27568,Nissan,Neon,1998
Cust10575,Vehicle16892,Chevrolet,Tahoe,2013
Cust10576,Vehicle22746,Suburu,Forrestor,1997
Cust10577,Vehicle1803,Suburu,Forrestor,1997
Cust10578,Vehicle21855,Chevrolet,Silverado,2002
Cust1058,Vehicle17981,Chevrolet,Silverado,2014
Cust10580,Vehicle33548,Audi,A5,2006
Cust10581,Vehicle26059,Saab,92x,2001
Cust10583,Vehicle38611,Dodge,RAM,2006
Cust10584,Vehicle29464,Accura,TL,2012
Cust10585,Vehicle2002,Accura,RSX,2012
Cust10586,Vehicle28401,Jeep,Wrangler,2015
Cust10588,Vehicle23574,Volkswagen,Jetta,2000
Cust10589,Vehicle1747,Volkswagen,Jetta,2001
Cust1059,Vehicle25716,Saab,93,2007
Cust10590,Vehicle32531,Nissan,Pathfinder,2006
Cust10591,Vehicle2385,Saab,Pathfinder,2007
Cust10592,Vehicle39138,Suburu,Legacy,1998
Cust10593,Vehicle23445,Suburu,Legacy,1998
Cust10595,Vehicle13274,BMW,M5,2006
Cust10596,Vehicle8666,Accura,Legacy,2006
Cust10597,Vehicle31246,Accura,Legacy,2005
Cust10598,Vehicle36361,BMW,X5,2004
Cust1060,Vehicle31805,Ford,Escape,2000
Cust10600,Vehicle2660,Audi,Wrangler,2010
Cust10601,Vehicle27404,Jeep,A3,2012
Cust10602,Vehicle38664,Audi,A3,1997
Cust10603,Vehicle4099,Dodge,RAM,1996
Cust10604,Vehicle23460,Jeep,Wrangler,2005
Cust10605,Vehicle23317,Jeep,Wrangler,2001
Cust10606,Vehicle28460,Ford,Fusion,2004
Cust10607,Vehicle8316,Ford,F150,2003
Cust10608,Vehicle36148,Mercedes,E400,1996
Cust1061,Vehicle38767,Nissan,Maxima,2014
Cust10610,Vehicle32451,Accura,TL,2000
Cust10612,Vehicle28217,Chevrolet,Tahoe,2001
Cust10614,Vehicle1545,Jeep,E400,2005
Cust10616,Vehicle35692,BMW,3 Series,2013
Cust10617,Vehicle15359,BMW,3 Series,2012
Cust10618,Vehicle28750,Dodge,Neon,1995
Cust1062,Vehicle35698,Honda,Accord,1997
Cust10621,Vehicle29495,Jeep,Wrangler,1997
Cust10622,Vehicle10594,Accura,MDX,1998
Cust10623,Vehicle25848,Accura,MDX,1999
Cust10625,Vehicle28436,Saab,93,2004
Cust10626,Vehicle13007,Nissan,Maxima,2000
Cust10628,Vehicle11496,Nissan,Tahoe,2000
Cust10630,Vehicle11339,Dodge,RAM,2012
Cust10631,Vehicle11008,Mercedes,RAM,2012
Cust10632,Vehicle17730,Suburu,Forrestor,2002
Cust10633,Vehicle19835,Suburu,Forrestor,1999
Cust10634,Vehicle27854,Nissan,Impreza,2011
Cust10635,Vehicle32986,Nissan,Impreza,2008
Cust10636,Vehicle3044,Jeep,Wrangler,2008
Cust10637,Vehicle32395,Jeep,Wrangler,2002
Cust10638,Vehicle27580,Suburu,Forrestor,2004
Cust10639,Vehicle10579,Suburu,Forrestor,2007
Cust1064,Vehicle12928,Suburu,Legacy,2003
Cust10640,Vehicle21739,Audi,Highlander,2008
Cust10641,Vehicle15082,Audi,Highlander,2006
